LGORT,MATNR,MEINS,MENGE
PR08,9660906,ZT,8
SC01,3630001,ZT,24
SC01,9680100,ZT,210
PR08,9619253,ZT,452
PR08,9681810,ZT,10
PR08,3680801,ZT,84
PR08,9680206,ZT,10
SC01,9661922,ZT,10
PR08,9680241,ZT,10
PR08,9609918,ZT,24
SC01,6001233,ZT,14
PR08,9613700,ZT,10
PR04,9606825,ZT,216
PR08,3605439,ZT,36
PR08,3606643,ZT,108
PR08,3619151,ZT,14
SC01,3613626,ZT,416
PR08,9602908,ZT,54
SC01,9601032,ZT,80
PR08,9680412,ZT,10
PR08,9665030,ZT,6
SC01,3661910,ZT,28
SC01,3613736,ZT,1762
SC01,9001330,ZT,10
PR08,9660024,ZT,30
SC01,3601125,ZT,10
PR08,9613626,ZT,72
SC01,3606635,ZT,16
SC01,3680804,ZT,20
PR08,9606853,ZT,36
SC01,9619279,ZT,136
PR08,9663003,ZT,10
SC01,9012190,ZT,6
SC01,3681000,ZT,14
SC01,9635508,ZT,10
PR08,3601028,ZT,318
SC01,9613239,ZT,20
PR08,9680239,ZT,10
SC01,3601031,ZT,80
PR08,9619260,ZT,226
PR08,9619256,ZT,6
SC01,3606632,ZT,22
SC01,9011290,ZT,20
SC01,9606824,ZT,56
SC01,9613739,ZT,130
PR08,9613217,ZT,252
PR08,3602940,ZT,8
PR08,3661909,ZT,24
PR08,3613123,ZT,114
SC01,9613248,ZT,8
PR08,3660916,ZT,14
SC01,9660020,ZT,6
SC01,3613257,ZT,78
SC01,9602130,ZT,32
SC01,3613702,ZT,22
SC01,3601035,ZT,10
PR08,9619255,ZT,120
PR08,3635507,ZT,10
PR08,3606820,ZT,36
SC01,3631214,ZT,10
PR08,9613744,ZT,20
SC01,9619250,ZT,802
PR08,3603800,ZT,68
SC01,3613244,ZT,24
PR08,9601036,ZT,40
PR08,7025100,ZT,70
SC01,3630055,ZT,36
PR08,9619277,ZT,46
PR08,9613701,ZT,30
PR08,3615434,ZT,56
PR08,9619267,ZT,136
PR08,9606845,ZT,28
PR08,9662319,ZT,10
PR08,9634984,ZT,36
PR08,3606648,ZT,210
SC01,9606856,ZT,6
SC01,9680227,ZT,10
SC01,9630056,ZT,8
SC01,9602917,ZT,20
SC01,9619252,ZT,150
SC01,9619001,ZT,60
SC01,3680103,ZT,14
PR08,9662004,ZT,6
SC01,3662311,ZT,14
SC01,9601038,ZT,280
SC01,9680103,ZT,10
SC01,9011190,ZT,24
PR08,3613223,ZT,96
SC01,3609912,ZT,48
SC01,3602138,ZT,102
SC01,3602035,ZT,132
SC01,3631219,ZT,24
PR08,3606609,ZT,80
PR08,9606842,ZT,20
SC01,9663502,ZT,10
SC01,3680802,ZT,190
PR08,9630020,ZT,10
PR08,9606847,ZT,52
SC01,9619278,ZT,66
PR08,9601044,ZT,120
SC01,3606641,ZT,50
SC01,9680111,ZT,108
PR08,9613226,ZT,356
PR08,3680207,ZT,28
PR08,3606645,ZT,514
SC01,9661900,ZT,14
SC01,3681801,ZT,74
SC01,9619005,ZT,162
SC01,9602928,ZT,40
PR08,9601047,ZT,10
SC01,9661908,ZT,86
SC01,9606830,ZT,108
PR08,3606642,ZT,14
SC01,9663015,ZT,8
SC01,9660919,ZT,34
PR08,9619266,ZT,60
