LGORT,MATNR,MEINS,MENGE
PR08,3606638,ZT,1062
PR08,3606639,ZT,72
PR08,9680229,ZT,20
PR08,9601050,ZT,10
SC01,9661905,ZT,10
SC01,9680208,ZT,10
SC01,3606840,ZT,244
PR08,3606640,ZT,68
PR08,3601038,ZT,430
PR08,9606850,ZT,14
PR08,9602916,ZT,64
PR08,3631000,ZT,320
PR08,9613121,ZT,6
SC01,3602930,ZT,32
PR08,3602928,ZT,14
SC01,3602926,ZT,36
SC01,9680207,ZT,10
SC01,9635551,ZT,10
SC01,3603822,ZT,28
PR08,9606837,ZT,72
PR08,9680113,ZT,80
PR08,3601014,ZT,50
PR08,9613334,ZT,50
SC01,3601000,ZT,726
PR08,9601037,ZT,8
SC01,3606633,ZT,72
SC01,9680223,ZT,24
PR08,9663505,ZT,6
SC01,3605421,ZT,8
SC01,9681000,ZT,10
SC01,9661913,ZT,10
PR08,3602020,ZT,52
PR08,3634952,ZT,10
SC01,9601039,ZT,40
SC01,9001290,ZT,20
PR08,3613724,ZT,476
SC01,3613121,ZT,104
PR08,9663012,ZT,32
PR08,9012090,ZT,8
PR08,3619254,ZT,94
PR08,9661910,ZT,10
PR08,3661907,ZT,72
PR08,9601022,ZT,12
SC01,9602199,ZT,20
SC01,9613236,ZT,20
PR08,3636200,ZT,346
PR08,9661925,ZT,22
PR08,3603823,ZT,20
SC01,9606843,ZT,14
PR08,9663010,ZT,36
PR08,9660005,ZT,14
PR08,9660918,ZT,10
PR08,3635552,ZT,14
SC01,3619209,ZT,22
PR08,9613714,ZT,210
PR08,9680101,ZT,8
SC01,9639900,ZT,142
SC01,9660019,ZT,14
PR08,3619052,ZT,674
SC01,3602022,ZT,28
PR08,3634982,ZT,116
PR08,9601049,ZT,30
PR08,3619008,ZT,596
PR08,9660200,ZT,10
SC01,9606819,ZT,18
SC01,3601121,ZT,36
SC01,0163212,ZT,32
PR08,3619006,ZT,60
SC01,9606645,ZT,36
PR08,3605423,ZT,110
PR08,9606846,ZT,52
PR08,9601051,ZT,100
SC01,9681807,ZT,10
SC01,3635252,ZT,30
SC01,9602929,ZT,10
SC01,3631212,ZT,62
PR08,3680106,ZT,10
PR08,3606636,ZT,6
PR08,3602917,ZT,12
SC01,3609911,ZT,74
PR08,9680108,ZT,72
PR08,3605429,ZT,6
SC01,3601019,ZT,20
SC01,9680102,ZT,164
SC01,9660023,ZT,10
PR08,9619259,ZT,14
SC01,9660916,ZT,10
PR08,9619200,ZT,24
SC01,9661923,ZT,14
PR08,9630051,ZT,10
PR08,9609967,ZT,10
PR08,9606833,ZT,10
SC01,9635552,ZT,60
SC01,9665016,ZT,10
SC01,3606622,ZT,72
PR08,9670918,ZT,32
PR08,9613743,ZT,250
PR08,9681806,ZT,10
SC01,9680408,ZT,24
PR08,7163100,ZT,8
PR08,9601033,ZT,10
PR08,9630052,ZT,6
SC01,3630021,ZT,42
PR08,3615224,ZT,646
SC01,3619256,ZT,28
PR08,9680230,ZT,20
SC01,9680112,ZT,10
SC01,9011091,ZT,10
SC01,9606823,ZT,208
PR08,3636250,ZT,58
PR08,3604400,ZT,42
PR08,3613122,ZT,86
SC01,9662003,ZT,16
SC01,3605419,ZT,32
SC01,9663000,ZT,6
PR08,9635200,ZT,14
SC01,3605418,ZT,84
PR08,3601042,ZT,20
SC01,3631215,ZT,36
SC01,3634951,ZT,28
SC01,9619002,ZT,698
SC01,3613625,ZT,70
PR08,3605435,ZT,1226
PR08,3602017,ZT,50
PR08,3603821,ZT,12
SC01,9660915,ZT,10
SC01,3606628,ZT,50
PR08,9606852,ZT,8
SC01,9606832,ZT,98
PR08,9619003,ZT,108
SC01,3601046,ZT,40
SC01,9660022,ZT,26
SC01,3635253,ZT,20
SC01,9634951,ZT,20
PR08,3606826,ZT,14
SC01,3681800,ZT,36
SC01,3660018,ZT,8
SC01,9680106,ZT,70
PR08,3613022,ZT,106
SC01,3601045,ZT,208
SC01,3613120,ZT,72
PR08,9662318,ZT,6
SC01,3602929,ZT,28
SC01,9680235,ZT,92
SC01,3619210,ZT,20
SC01,9665028,ZT,14
PR08,3630056,ZT,84
SC01,9680407,ZT,14
PR08,3619251,ZT,676
PR08,3613713,ZT,90
SC01,9613716,ZT,648
PR08,9635502,ZT,8
SC01,3601016,ZT,378
SC01,9613124,ZT,8
SC01,9680228,ZT,14
SC01,3606842,ZT,8
SC01,9630022,ZT,10
SC01,9661917,ZT,10
SC01,9601048,ZT,36
PR08,3613725,ZT,96
SC01,9661918,ZT,10
PR08,9601042,ZT,10
SC01,9680226,ZT,20
PR08,3601021,ZT,40
SC01,9663006,ZT,28
PR08,9680104,ZT,56
SC01,9681808,ZT,10
SC01,3615433,ZT,62
SC01,3606661,ZT,46
SC01,3613234,ZT,6
SC01,3605422,ZT,520
SC01,3601048,ZT,258
PR08,9002090,ZT,14
SC01,9602922,ZT,64
PR08,3603820,ZT,108
PR08,9613736,ZT,414
SC01,9680110,ZT,70
SC01,3606619,ZT,112
PR08,9619207,ZT,6
PR08,3601009,ZT,30
SC01,9613709,ZT,80
PR08,9619262,ZT,132
PR06,3606647,ZT,14
SC01,9601017,ZT,40
SC01,3603818,ZT,136
SC01,9606818,ZT,72
PR08,9613702,ZT,110
PR08,9680600,ZT,90
PR08,9606814,ZT,636
SC01,9660002,ZT,14
PR08,3613701,ZT,258
