LGORT,MATNR,MEINS,MENGE
SC01,3670102,ZT,81
SC01,0029853,ZT,48
SC01,4801137,ZT,432
SC01,0100972,ZT,9
SC01,0121291,ZT,46
SC01,343519,ZT,143
SC01,0094703,ZT,168
SC01,3602913,ZT,32
SC01,9662318,ZT,7
SC01,5100000,ZT,6
SC01,0110206,ZT,96
SC01,951570100_,ZT,19
SC01,0103470,ZT,768
SC01,3606638,ZT,24
SC01,9601041,ZT,98
SC01,8301148,ZT,31
SC01,0109756,ZT,48
SC01,0029858,ZT,4
SC01,0025079,ZT,1
SC01,0105232,ZT,458
SC01,0020534,ZT,20
SC01,3605426,ZT,42
SC01,0096002,ZT,12
SC01,0188046,ZT,1
SC01,3662309,ZT,1
SC01,4415509,ZT,1
SC01,2TX0589_D0,ZT,1
SC01,0610001,ZT,7
SC01,3601048,ZT,30
SC01,3603800,ZT,32
SC01,3631212,ZT,55
SC01,4801110,ZT,42
SC01,0028982,ZT,144
SC01,3601038,ZT,545
SC01,3603817,ZT,30
SC01,9601057,ZT,24
SC01,0029770,ZT,800
SC01,3602127,ZT,16
SC01,3602931,ZT,8
SC01,0101225,ZT,19
SC01,3605425,ZT,6
SC01,9680224,ZT,1
SC01,9670300,ZT,4
SC01,9515304,ZT,7
SC01,4801129,ZT,24
SC01,4415701,ZT,6
SC01,9665016,ZT,40
SC01,4416221,ZT,12
SC01,3606641,ZT,16
SC01,0029302,ZT,36
SC01,9634984,ZT,24
SC01,10000,ZT,23
SC01,6001291,ZT,22
SC01,4801106,ZT,24
SC01,3672101,ZT,16
SC01,0075014,ZT,3
SC01,4801101,ZT,24
SC01,8301164,ZT,2
SC01,3601028,ZT,72
SC01,3603821,ZT,1
SC01,3606640,ZT,18
SC01,9665028,ZT,9
SC01,3606643,ZT,59
SC01,9670929,ZT,76
SC01,0077578,ZT,32
SC01,9661926,ZT,20
SC01,0094104,ZT,32
SC01,0036201,ZT,1
SC01,96170010,ZT,277
SC01,4403509,ZT,58
SC01,3681805,ST,11
SC01,9515302,ZT,28
SC01,0188004,ZT,7
SC01,0025021,ZT,2
SC01,0161300,ZT,10
SC01,4801118,ZT,72
SC01,9619252,ZT,24
SC01,0100753,ZT,188
SC01,3613022,ZT,160
SC01,9613226,ZT,8
SC01,3660100,ZT,16
SC01,0030727,ZT,1
SC01,1700002,ZT,187
SC01,0113680,ZT,5
SC01,3606633,ZT,16
SC01,3619251,ZT,114
SC01,3602134,ZT,16
SC01,0000011_,ZT,7
SC01,9601032,ZT,48
SC01,600012,ZT,18
SC01,3615236,ZT,498
SC01,0135201,ZT,4
SC01,0023142,ZT,128
SC01,2000464_,ZT,23
SC01,0148910,ZT,13
SC01,3660102,ZT,16
SC01,0113137,ZT,10
SC01,0029905,ZT,156
SC01,9670925,ZT,10
SC01,8301204,ZT,22
SC01,0055107,ZT,12
SC01,0109348,ZT,4
SC01,8301155,ZT,3
SC01,9662303,ZT,6
SC01,3634983,ZT,80
SC01,4415706,ZT,6
SC01,9601022,ZT,24
SC01,0028507,ZT,96
SC01,9619002,ZT,288
SC01,07002_,ZT,22
SC01,0061001,ZT,31
SC01,00260500,ZT,13
SC01,4801113,ZT,112
SC01,3615704,ZT,30
