LGORT,MATNR,MEINS,MENGE
SC01,0108461,ZT,22
SC01,9602123,ZT,180
SC01,951570100_,ZT,2
SC01,9680235,ZT,36
SC01,0060082,ZT,6
SC01,3606648,ZT,1712
SC01,0100753,ZT,30
SC01,3605419,ZT,36
SC01,0028374,ZT,6
SC01,4801123,ZT,96
SC01,0188046,ZT,2
SC01,3680107,ZT,72
SC01,3186600,ZT,18
SC01,0060032,ZT,196
SC01,3605422,ZT,72
SC01,9609936,ZT,484
SC01,9619279,ZT,36
SC01,0085600,ZT,4
SC01,0028363,ZT,8
SC01,4801103,ZT,30
SC01,2001935P_,ZT,1
SC01,2000464_,ZT,109
SC01,9606832,ZT,661
SC01,9680102,ZT,112
SC01,0101020,ZT,30
SC01,3630055,ZT,252
SC01,0028366,ZT,6
SC01,00260500,ZT,4
SC01,9663504,ZT,484
SC01,4801129,ZT,96
SC01,0110612.A,ZT,8
SC01,9601056,ZT,50
SC01,3615704,ZT,72
SC01,0111498,ZT,4
SC01,00260530,ZT,20
SC01,0092768,ZT,48
SC01,3619008,ZT,50
SC01,0022840,ZT,4
SC01,341009800,ZT,6
SC01,0112568,ZT,13
SC01,0107078,ZT,6
SC01,0028434,ZT,18
SC01,9601043,ZT,56
SC01,3631000,ZT,484
SC01,4415700,ZT,6
SC01,9680111,ZT,36
SC01,3613233,ZT,36
SC01,0023569,ZT,4
SC01,0060070,ZT,107
SC01,0029773,ZT,12
SC01,0011002,ZT,30
SC01,9515301,ZT,5
SC01,0023586,ZT,6
SC01,7610003,ZT,3
SC01,9635201,ZT,8
SC01,0110018,ZT,12
SC01,9601032,ZT,56
SC01,0110206,ZT,12
SC01,9012190,ZT,41
SC01,0113135,ZT,9
SC01,9613435,ZT,216
SC01,9001390,ZT,9
SC01,4801118,ZT,96
SC01,9601047,ZT,484
SC01,9609945,ZT,968
SC01,3602926,ZT,315
SC01,0097872,ZT,18
SC01,3619204,ZT,4
SC01,0060026,ZT,748
SC01,9680600,ZT,484
SC01,10005,ZT,9
SC01,3605421,ZT,377
SC01,0610001,ZT,1
SC01,0028870,ZT,16
SC01,9601000,ZT,968
SC01,9619256,ZT,300
SC01,0060062,ZT,846
SC01,3619009,ZT,484
SC01,0060027,ZT,668
SC01,0117103,ZT,6
