LGORT,MATNR,MEINS,MENGE
SC01,0111464,ZT,25
SC01,0135201,ZT,7
SC01,8301148,ZT,30
SC01,9613236,ZT,108
SC01,9619260,ZT,48
SC01,9619253,ZT,136
SC01,3615722,ZT,72
SC01,0110004,ZT,10
SC01,9680239,ZT,7
SC01,9609935,ZT,484
SC01,2000172_,ZT,21
SC01,4801126,ZT,192
SC01,9601022,ZT,28
SC01,3602130,ZT,408
SC01,0022928,ZT,8
SC01,9665005,ZT,2
SC01,0108437,ZT,10
SC01,0107448,ZT,15
SC01,9635203,ZT,197
SC01,9609920,ZT,50
SC01,2138100,ST,2
SC01,9619267,ZT,140
SC01,3615434,ZT,108
SC01,0188004,ZT,33
SC01,4801114,ZT,96
SC01,0113679.E,ZT,1
SC01,2TX0585_D0,ZT,6
SC01,9662308,ZT,36
SC01,9606845,ZT,916
SC01,0060024,ZT,30
SC01,7162000,ZT,39
SC01,8301164,ZT,108
SC01,1688000,ZT,50
SC01,0022803,ZT,18
SC01,4417200,ZT,1
SC01,200140,ZT,24
SC01,0117305,ZT,6
SC01,0187800,ZT,5
SC01,3615132,ZT,108
SC01,9660015,ZT,36
SC01,0026054,ZT,20
SC01,3680106,ZT,2
SC01,1699001,ZT,426
SC01,0188002,ZT,3
SC01,0030693,ZT,14
SC01,2001232_,ZT,1
SC01,9680242,ZT,46
SC01,0061002,ZT,20
SC01,60003,ZT,41
SC01,9670106,ZT,1972
SC01,3661100,ZT,36
SC01,1699002,ZT,654
SC01,50000,ZT,18
SC01,9619262,ZT,968
SC01,2000426_,ZT,5
SC01,0023040,ZT,8
SC01,0104560,ZT,6
SC01,30006,ZT,8
SC01,9660021,ZT,36
SC01,3619006,ZT,36
SC01,0029858,ZT,4
SC01,0025079,ZT,1
SC01,9609942,ZT,36
SC01,3601031,ZT,56
SC01,3619200,ZT,1
SC01,3602931,ZT,256
SC01,3606628,ZT,2869
SC01,2000194P_,ZT,1
SC01,3602035,ZT,460
SC01,0061001,ZT,20
SC01,0025817,ZT,4
SC01,9619250,ZT,332
SC01,9680208,ZT,36
SC01,0079634,ZT,16
SC01,0190402,ZT,20
SC01,0179679,ZT,4
SC01,3630054,ZT,36
SC01,9609944,ZT,1128
SC01,4801133,ZT,192
SC01,9619270,ZT,72
SC01,9635554,ZT,15
SC01,3606622,ZT,100
SC01,0025019,ZT,4
SC01,0150881,ZT,12
SC01,9670928,ZT,38
SC01,0102083,ZT,290
SC01,3605417,ZT,72
SC01,0165288,ZT,2
SC01,0107451,ZT,6
SC01,0029302,ZT,4
SC01,0062091,ZT,3
SC01,9665016,ZT,11
SC01,0000029_,ZT,2
SC01,0110031,ZT,8
SC01,9661907,ZT,5
SC01,9680415,ZT,36
SC01,9670204,ZT,1508
SC01,3601028,ZT,84
SC01,0029740,ZT,4
SC01,3619210,ZT,1
SC01,5100000,ZT,46
SC01,951560300,ZT,1
SC01,0110154,ZT,1
SC01,0135205,ZT,1
SC01,0060033,ZT,773
SC01,3613022,ZT,1865
SC01,6001233,ZT,1
SC01,0028990,ZT,8
SC01,0188006,ZT,21
SC01,2000459P_,ZT,5
SC01,3613121,ZT,1
SC01,0136203,ZT,1
SC01,0116274,ZT,6
SC01,9613716,ZT,2856
SC01,0147869,ZT,12
SC01,0096213,ZT,6
SC01,4190400,ZT,7
SC01,0001163,ZT,33
SC01,3606647,ZT,36
SC01,9606846,ZT,72
SC01,9602112,ZT,2056
SC01,3613215,ZT,104
SC01,2000367P_,ZT,2
SC01,0111717,ZT,10
SC01,3602026,ZT,125
SC01,0024796,ZT,4
SC01,0029770,ZT,72
SC01,9515700,ZT,1
SC01,3601019,ZT,56
SC01,0029878,ZT,14
SC01,3680503,ZT,36
SC01,9515304,ZT,25
SC01,0094705,ZT,22
SC01,1689002,ZT,165
SC01,3603822,ZT,72
SC01,0102277,ZT,12
SC01,4415706,ZT,10
SC01,0000030_,ZT,2
SC01,3613223,ZT,433
SC01,8301244,ZT,117
SC01,0106051,ZT,22
SC01,3619253,ZT,108
SC01,3630021,ZT,72
SC01,9660911,ST,10
SC01,9619251,ZT,693
SC01,0023524,ZT,28
SC01,9662300,ZT,1
SC01,0023372,ZT,83
SC01,0023200,ZT,4
SC01,0161300,ZT,4
SC01,9613709,ST,100
SC01,1700001,ZT,1015
SC01,0113163,ZT,24
SC01,9613714,ZT,252
SC01,0092680,ZT,36
SC01,44157020,ZT,1
SC01,0029763,ZT,42
SC01,3630002,ZT,108
SC01,0179879,ZT,2
SC01,9609938,ZT,484
SC01,9606841,ZT,36
SC01,0100972,ZT,8
SC01,3606619,ZT,399
SC01,0000011_,ZT,3
SC01,00006,ZT,16
SC01,6015001,ZT,88
SC01,3631050,ZT,36
SC01,9602100,ZT,36
SC01,9619005,ZT,1064
SC01,1655001,ZT,1
SC01,9613736,ZT,1556
SC01,0029922,ZT,4
SC01,30000,ZT,628
SC01,9606818,ZT,116
SC01,44157040,ZT,6
SC01,0025008,ZT,3
SC01,2TX0583_BG3,ZT,48
SC01,8301204,ZT,41
SC01,7008792,ZT,6
SC01,9619266,ZT,144
SC01,0107450,ZT,67
SC01,9601038,ZT,2904
SC01,9602916,ZT,468
SC01,0117077,ZT,2
SC01,3609915,ZT,108
SC01,9602921,ZT,650
SC01,9680500,ZT,50
SC01,341009500,ZT,17
SC01,9001230,ZT,18
SC01,0030224,ZT,12
SC01,9666001,ZT,36
SC01,3604119,ZT,72
SC01,3605424,ZT,621
SC01,3613701,ZT,56
SC01,3680802,ZT,144
SC01,0029865,ZT,18
SC01,9681810,ZT,30
SC01,0023058,ZT,4
SC01,3603823,ZT,116
SC01,9601042,ZT,484
SC01,3681000,ZT,441
SC01,3606820,ZT,232
SC01,3664000,ZT,1
SC01,0007309,ZT,3
SC01,4415701,ZT,1
SC01,9661919,ZT,72
SC01,0189100,ST,1
SC01,0028387,ZT,26
SC01,0029868,ZT,30
SC01,3609911,ZT,511
SC01,9619002,ZT,336
SC01,0028507,ZT,12
SC01,0077217,ZT,125
SC01,9613743,ZT,242
SC01,0101427,ZT,4
SC01,0028982,ZT,18
SC01,0060081,ZT,16
SC01,3634982,ZT,64
SC01,3606645,ZT,36
SC01,3602925,ZT,72
SC01,341009400,ZT,15
SC01,3613214,ZT,180
SC01,0137400,ZT,4
SC01,9613725,ZT,2662
SC01,9635552,ZT,36
SC01,6012190,ZT,2
SC01,8301163,ZT,31
SC01,9609924,ZT,1210
SC01,4432010,ZT,192
SC01,0101704,ZT,4
SC01,0610000,ZT,1
SC01,0029761,ZT,12
SC01,0113136,ZT,5
SC01,0107594,ZT,36
SC01,9613217,ZT,84
SC01,9001330,ZT,36
SC01,0059322,ZT,2
SC01,9609941,ZT,726
SC01,0121146,ZT,4
SC01,4801137,ZT,576
SC01,3680804,ZT,36
SC01,9666005,ZT,1
SC01,9606819,ZT,850
SC01,3601124,ZT,224
SC01,9602926,ZT,132
SC01,0163301,ZT,2
SC01,3681802,ZT,3
SC01,0023059,ZT,6
SC01,44157080,ZT,1
SC01,9602935,ZT,268
SC01,500021,ZT,1
SC01,9602911,ZT,51
SC01,0084654,ZT,4
SC01,3613702,ZT,130
SC01,3606660,ZT,100
SC01,3680800,ZT,545
SC01,9613702,ZT,1210
SC01,3601035,ZT,28
SC01,951570200_,ZT,10
SC01,0030453,ZT,8
SC01,0096002,ZT,12
SC01,0028369,ZT,6
SC01,3605423,ZT,216
SC01,30002,ZT,22
SC01,0030464,ZT,5
SC01,0163427,ZT,1
SC01,3619207,ZT,1
SC01,9613129,ZT,72
SC01,3680105,ZT,1483
SC01,0084395,ZT,8
SC01,9619268,ZT,36
SC01,4801105,ZT,30
SC01,0115325,ZT,6
SC01,9609948,ZT,242
SC01,0106562,ZT,6
SC01,3601038,ZT,308
SC01,3636200,ZT,3882
SC01,3602153,ZT,165
SC01,9661915,ZT,36
SC01,2TX0581_D0,ZT,109
SC01,3613626,ZT,2300
SC01,4801107,ZT,30
SC01,0029744,ZT,4
SC01,9613744,ZT,968
SC01,0029384,ZT,4
SC01,9680101,ZT,36
SC01,7008793,ZT,18
SC01,0102306,ZT,374
SC01,0096215,ZT,20
SC01,0150388,ZT,8
SC01,9613703,ZT,56
SC01,0110501,ZT,6
SC01,0159116.B,ZT,25
SC01,0000012_,ZT,10
SC01,9619263,ZT,84
SC01,9606823,ZT,43
SC01,3606631,ZT,2172
SC01,8301243,ZT,8
SC01,9609927,ZT,28
SC01,0112043,ZT,40
SC01,9601044,ST,50
SC01,4801117,ZT,96
SC01,0107449,ZT,8
SC01,3680600,ZT,108
SC01,9619207,ZT,72
SC01,0113680,ZT,6
SC01,9670923,ZT,14
SC01,3670301,ZT,3
SC01,9681003,ZT,28
SC01,0103470,ZT,124
SC01,0107985,ZT,8
SC01,9619255,ZT,968
SC01,0100870,ZT,116
SC01,7610008,ZT,288
SC01,9602119,ZT,116
SC01,9680112,ZT,36
SC01,0121280,ZT,31
SC01,0029769,ZT,40
SC01,3660100,ZT,180
SC01,3602021,ZT,36
SC01,0096208,ZT,8
SC01,9606829,ZT,56
SC01,0029873,ZT,8
SC01,9619280,ZT,36
SC01,3672100,ZT,118
SC01,9601023,ZT,112
SC01,3615715,ZT,36
SC01,3619257,ZT,36
SC01,9660017,ZT,36
SC01,0163161,ZT,8
SC01,9663015,ZT,36
SC01,3615236,ZT,1
SC01,9602912,ZT,574
SC01,0092797,ZT,42
SC01,9618005,ZT,34
SC01,9680224,ZT,6
SC01,0029378,ZT,4
SC01,6230800,ZT,1
SC01,8301156,ZT,19
SC01,2000296P_,ZT,8
SC01,6016001,ZT,48
SC01,9606837,ZT,71
SC01,9663019,ZT,10
SC01,9515303,ZT,8
SC01,3602148,ZT,73
SC01,3619201,ZT,41
SC01,9665026,ZT,40
SC01,0111616,ZT,2
SC01,9002090,ZT,39
SC01,0111640,ZT,4
SC01,1654000,ZT,2
SC01,9609928,ZT,484
SC01,0105105,ZT,1
SC01,0025021,ZT,3
SC01,4187300,ZT,1
SC01,9661928,ZT,10
SC01,9515305,ZT,13
SC01,0223002,ZT,8
SC01,0025006,ZT,1
SC01,0135401,ZT,2
SC01,0111610,ZT,20
SC01,9680110,ZT,36
SC01,0029853,ZT,6
SC01,8301147,ZT,57
SC01,0112431,ZT,6
SC01,7008789,ZT,1
SC01,0029902,ZT,30
SC01,0121291,ZT,124
SC01,9602910,ZT,72
SC01,2001270P_,ZT,1
SC01,3606638,ZT,629
SC01,3680200,ZT,72
SC01,9513122,ZT,1
SC01,0109364,ZT,6
SC01,9609914,ZT,484
SC01,0094676,ZT,102
SC01,9613258,ZT,36
SC01,3601016,ZT,56
SC01,44157050,ZT,7
SC01,1700002,ZT,776
SC01,4801120,ZT,96
SC01,9670926,ZT,3016
SC01,0029905,ZT,30
SC01,0148910,ZT,2
SC01,3609912,ZT,188
SC01,1090002,ZT,20
SC01,9670925,ZT,43
SC01,300006,ZT,28
SC01,0109348,ZT,4
SC01,3635205,ZT,242
SC01,9663012,ZT,36
SC01,9609902,ZT,484
SC01,0094700,ZT,348
SC01,0029787,ZT,4
SC01,9515307,ZT,3
SC01,0029893,ZT,28
SC01,0105232,ZT,56
SC01,0158405,ZT,25
SC01,9630054,ZT,72
SC01,0023527,ZT,4
SC01,9601057,ZT,28
SC01,0098054,ZT,2
SC01,3581813,ZT,156
SC01,2000233_,ZT,19
SC01,0101225,ZT,14
SC01,9515306,ZT,26
SC01,9602908,ZT,92
SC01,0029899,ZT,28
SC01,3605435,ZT,1198
SC01,8301155,ZT,46
SC01,3603800,ZT,90
SC01,9680108,ZT,50
SC01,0111608,ZT,48
SC01,9680221,ZT,484
SC01,0107612,ZT,1
SC01,1689001,ZT,37
SC01,9602114,ZT,731
SC01,9670913,ZT,116
SC01,9670929,ZT,91
SC01,9680411,ZT,36
SC01,9635553,ZT,484
SC01,0023543,ZT,16
SC01,9606847,ZT,36
SC01,9515302,ZT,8
SC01,0188031,ZT,27
SC01,4801106,ZT,30
SC01,3681800,ZT,704
SC01,3606626,ZT,396
SC01,3602938,ZT,77
SC01,0029784,ZT,36
SC01,9635505,ZT,36
SC01,2000456P_,ZT,7
SC01,0101108,ZT,4
SC01,0107446,ZT,30
SC01,3601122,ZT,84
SC01,0113264,ZT,5
SC01,0139843,ZT,3
SC01,9670910,ZT,13
SC01,2001265_,ZT,3
SC01,2000541P_,ZT,1
SC01,0031802,ZT,6
SC01,9619252,ZT,787
SC01,0146891,ZT,2
SC01,9602941,ZT,23
SC01,0062000,ZT,2
SC01,9011390,ZT,242
SC01,44215010,ZT,3
SC01,9606834,ZT,28
SC01,3602928,ZT,118
SC01,3603818,ZT,56
SC01,0123701.B,ZT,1
SC01,9619264,ZT,968
SC01,951560400,ZT,1
SC01,9619004,ZT,2178
SC01,3636250,ZT,332
SC01,10004,ZT,11
SC01,0080175,ZT,4
SC01,0093290,ZT,8
SC01,0104564,ZT,12
SC01,9609929,ZT,484
SC01,9619202,ZT,1
SC01,9670305,ZT,696
SC01,0110610.A,ZT,8
SC01,0188037,ZT,39
SC01,0109756,ZT,6
SC01,00000,ZT,31
SC01,3605429,ZT,504
SC01,9660002,ZT,28
SC01,44157083,ZT,4
SC01,60014,ZT,12
SC01,3619256,ZT,28
SC01,7008784,ZT,2
SC01,9660008,ZT,1
SC01,4801113,ZT,96
SC01,1687000,ZT,47
SC01,9602109,ZT,36
SC01,73450,ZT,200
SC01,8301203,ZT,23
SC01,4801110,ZT,96
SC01,0110517,ZT,38
SC01,96170010,ZT,95
SC01,0060071,ZT,334
SC01,7119500,ZT,4
SC01,4417201,ZT,1
SC01,9660020,ZT,36
SC01,9634984,ZT,28
SC01,0100977,ZT,8
SC01,0110021,ZT,14
SC01,3635552,ZT,21
SC01,7192900,ZT,4
SC01,4801101,ZT,80
SC01,0188001,ZT,6
SC01,9619275,ZT,180
SC01,3619251,ZT,1884
SC01,0094703,ZT,114
SC01,2001267_,ZT,8
SC01,3602128,ZT,36
SC01,3601000,ZT,196
SC01,4801104,ZT,30
SC01,9609937,ZT,726
