McID,StatusID,TimeStamp
Machine_5,7,2018-03-14T18:01:34.287Z
Machine_0,1,2018-03-14T18:01:54.843Z
Machine_3,5,2018-03-14T18:03:50.737Z
Machine_3,3,2018-03-14T18:04:04.620Z
Machine_3,7,2018-03-14T18:04:49.510Z
Machine_1,8,2018-03-14T18:04:50.920Z
Machine_2,5,2018-03-14T18:05:36.613Z
Machine_1,2,2018-03-14T18:06:20.967Z
Machine_0,7,2018-03-14T18:06:36.760Z
Machine_1,7,2018-03-14T18:09:14.580Z
Machine_1,7,2018-03-14T18:11:56.787Z
Machine_2,7,2018-03-14T18:13:53.410Z
Machine_2,7,2018-03-14T18:16:41.297Z
Machine_1,1,2018-03-14T18:21:16.900Z
Machine_2,1,2018-03-14T18:22:48.990Z
Machine_2,8,2018-03-14T18:26:08.363Z
Machine_2,7,2018-03-14T18:26:10.820Z
Machine_1,10,2018-03-14T18:26:20.663Z
Machine_3,3,2018-03-14T18:26:42.187Z
Machine_3,0,2018-03-14T18:27:05.030Z
Machine_2,0,2018-03-14T18:28:56.967Z
Machine_1,1,2018-03-14T18:29:01.817Z
Machine_5,7,2018-03-14T18:31:00.183Z
Machine_5,1,2018-03-14T18:32:17.780Z
Machine_5,1,2018-03-14T18:33:28.487Z
Machine_5,1,2018-03-14T18:33:50.503Z
Machine_0,10,2018-03-14T18:38:05.830Z
Machine_1,1,2018-03-14T18:38:09.613Z
Machine_2,7,2018-03-14T18:41:01.127Z
Machine_2,0,2018-03-14T18:43:42.137Z
Machine_1,1,2018-03-14T18:46:35.447Z
Machine_2,7,2018-03-14T18:46:39.113Z
Machine_5,7,2018-03-14T18:47:08.173Z
Machine_0,1,2018-03-14T18:49:18.857Z
Machine_3,1,2018-03-14T18:49:29.190Z
Machine_1,1,2018-03-14T18:55:36.663Z
Machine_1,3,2018-03-14T18:55:48.637Z
Machine_2,8,2018-03-14T18:56:15.123Z
Machine_2,7,2018-03-14T18:56:17.493Z
Machine_5,1,2018-03-14T18:56:32.257Z
Machine_0,8,2018-03-14T18:59:09.380Z
Machine_3,0,2018-03-14T19:00:58.433Z
Machine_2,7,2018-03-14T19:02:19.383Z
Machine_0,1,2018-03-14T19:04:20.030Z
Machine_2,9,2018-03-14T19:07:43.960Z
Machine_3,0,2018-03-14T19:08:36.590Z
Machine_1,4,2018-03-14T19:09:41.687Z
Machine_0,7,2018-03-14T19:09:49.877Z
Machine_1,1,2018-03-14T19:09:52.417Z
Machine_0,0,2018-03-14T19:10:13.967Z
Machine_5,3,2018-03-14T19:12:03.293Z
Machine_1,9,2018-03-14T19:13:02.887Z
Machine_5,7,2018-03-14T19:13:06.590Z
Machine_2,0,2018-03-14T19:14:59.563Z
Machine_1,7,2018-03-14T19:15:08.653Z
Machine_1,9,2018-03-14T19:15:11.587Z
Machine_0,1,2018-03-14T19:15:24.027Z
Machine_2,7,2018-03-14T19:15:39.570Z
Machine_0,10,2018-03-14T19:15:41.177Z
Machine_2,1,2018-03-14T19:15:47.740Z
Machine_1,1,2018-03-14T19:15:55.377Z
Machine_2,10,2018-03-14T19:16:16.287Z
Machine_0,10,2018-03-14T19:16:32.383Z
Machine_0,7,2018-03-14T19:16:34.343Z
Machine_4,1,2018-03-14T19:16:36.757Z
Machine_0,0,2018-03-14T19:17:07.020Z
Machine_2,9,2018-03-14T19:17:42.370Z
Machine_0,7,2018-03-14T19:18:12.117Z
Machine_2,10,2018-03-14T19:18:19.970Z
Machine_1,7,2018-03-14T19:18:30.807Z
Machine_0,9,2018-03-14T19:18:49.227Z
Machine_0,1,2018-03-14T19:19:00.020Z
Machine_2,7,2018-03-14T19:19:09.140Z
Machine_3,1,2018-03-14T19:20:01.003Z
Machine_0,7,2018-03-14T19:21:21.833Z
Machine_0,1,2018-03-14T19:22:12.897Z
Machine_0,9,2018-03-14T19:23:23.973Z
Machine_3,1,2018-03-14T19:27:28.637Z
Machine_2,7,2018-03-14T19:28:59.143Z
Machine_2,9,2018-03-14T19:29:01.547Z
Machine_1,7,2018-03-14T19:29:09.147Z
Machine_1,1,2018-03-14T19:29:21.937Z
Machine_1,10,2018-03-14T19:29:35.853Z
Machine_0,10,2018-03-14T19:29:42.797Z
Machine_1,0,2018-03-14T19:29:50.917Z
Machine_4,9,2018-03-14T19:42:18.303Z
Machine_1,10,2018-03-14T19:50:51.903Z
Machine_3,1,2018-03-14T20:08:33.840Z
Machine_3,7,2018-03-14T20:08:48.567Z
Machine_0,10,2018-03-14T20:11:58.977Z
Machine_5,1,2018-03-14T20:14:45.037Z
Machine_0,7,2018-03-14T20:17:24.477Z
Machine_0,0,2018-03-14T20:17:34.853Z
Machine_5,1,2018-03-14T20:17:47.033Z
Machine_0,7,2018-03-14T20:17:53.573Z
Machine_1,1,2018-03-14T20:18:00.863Z
Machine_1,0,2018-03-14T20:18:00.870Z
Machine_1,1,2018-03-14T20:18:01.030Z
Machine_2,9,2018-03-14T20:18:21.647Z
Machine_1,7,2018-03-14T20:18:36.790Z
Machine_1,1,2018-03-14T20:18:43.310Z
Machine_0,1,2018-03-14T20:18:45.790Z
Machine_0,10,2018-03-14T20:18:46.157Z
Machine_5,1,2018-03-14T20:19:09.070Z
Machine_3,0,2018-03-14T20:19:13.347Z
Machine_0,7,2018-03-14T20:19:17.763Z
Machine_1,0,2018-03-14T20:19:22.333Z
Machine_0,0,2018-03-14T20:19:25.357Z
Machine_2,7,2018-03-14T20:19:47.737Z
Machine_1,7,2018-03-14T20:21:20.060Z
Machine_1,7,2018-03-14T20:21:54.683Z
Machine_2,9,2018-03-14T20:22:26.880Z
Machine_2,1,2018-03-14T20:22:40.487Z
Machine_0,7,2018-03-14T20:22:40.910Z
Machine_3,0,2018-03-14T20:22:54.957Z
Machine_4,9,2018-03-14T20:23:51.487Z
Machine_1,7,2018-03-14T20:26:01.127Z
Machine_2,7,2018-03-14T20:26:08.500Z
Machine_1,0,2018-03-14T20:26:13.757Z
Machine_0,7,2018-03-14T20:26:26.633Z
Machine_1,10,2018-03-14T20:26:33.327Z
Machine_1,7,2018-03-14T20:26:35.790Z
Machine_1,7,2018-03-14T20:26:53.103Z
Machine_2,1,2018-03-14T20:26:58.077Z
Machine_2,0,2018-03-14T20:27:02.057Z
Machine_2,9,2018-03-14T20:27:03.097Z
Machine_1,0,2018-03-14T20:27:05.640Z
Machine_0,9,2018-03-14T20:27:06.910Z
Machine_3,7,2018-03-14T20:27:27.853Z
Machine_1,1,2018-03-14T20:27:52.463Z
Machine_1,0,2018-03-14T20:27:52.470Z
Machine_0,7,2018-03-14T20:28:31.597Z
